,file_name,caption
0,020.jpg,"The lower right part of the white pill has a bump defect, shaped irregularly, colored black. The lower right part of the white pill has a bump defect, shaped irregularly, colored gray. The upper half of the white pill has a scratch defect, shaped as a long stripe, colored gray.
The lower right part of the white pill has a bump defect, shaped irregularly, colored black. The lower right part of the white pill has a bump defect, shaped irregularly, colored gray. The upper half of the white pill has a scratch defect, shaped as a long stripe, colored gray."
1,021.jpg,"The left side of the white pill has a misprint defect, shaped irregularly, colored gray. The right side of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling three.
The left side of the white pill has a misprint defect, shaped irregularly, colored gray. The right side of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling three."
2,022.jpg,"The right side of the white pill has a foreign object defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped irregularly, colored black. The lower right part of the white pill has a foreign object defect, shaped irregularly, colored gray. The lower left part of the white pill has a foreign object defect, shaped as a long stripe, colored gray.
The right side of the white pill has a foreign object defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped irregularly, colored black. The lower right part of the white pill has a foreign object defect, shaped irregularly, colored gray. The lower left part of the white pill has a foreign object defect, shaped as a long stripe, colored gray."
3,023.jpg,"The left side of the white pill has a misprint defect, shaped irregularly, colored gray. The upper left part of the white pill has a scratch defect, shaped as a long stripe, colored gray. The upper left part of the white pill has a bump defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped irregularly, colored gray. The lower right part of the white pill has a foreign object defect, shaped as a long stripe, colored gray. The right side of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling two. The lower right part of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling six.
The left side of the white pill has a misprint defect, shaped irregularly, colored gray. The upper left part of the white pill has a scratch defect, shaped as a long stripe, colored gray. The upper left part of the white pill has a bump defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped irregularly, colored gray. The lower right part of the white pill has a foreign object defect, shaped as a long stripe, colored gray. The right side of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling two. The lower right part of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling six."
4,024.jpg,"The right side of the white pill has six red spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type. The lower half of the white pill has five black spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type. The upper left part of the white pill has five yellow spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type.
The right side of the white pill has six red spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type. The lower half of the white pill has five black spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type. The upper left part of the white pill has five yellow spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type."
5,025.jpg,"The upper right part of the white pill has five black spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type.
The upper right part of the white pill has five black spot defects, which is incorrect as the proper pill should have white and red spots. This pill is the wrong type."
6,026.jpg,"The upper right part of the white pill has a bump defect, shaped irregularly, colored gray, totaling three. The right side of the white pill has a misprint defect, shaped irregularly, colored gray. The upper right corner of the white pill has a scratch, shaped as a long stripe, colored gray.
The upper right part of the white pill has a bump defect, shaped irregularly, colored gray, totaling three. The right side of the white pill has a misprint defect, shaped irregularly, colored gray. The upper right corner of the white pill has a scratch, shaped as a long stripe, colored gray."
7,027.jpg,"The lower left part of the white pill has a bump defect, shaped as a long stripe, colored gray. The upper right part of the white pill has a bump defect, shaped as a long stripe, colored gray. The upper right part of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling three. The lower right part of the white pill has a bump defect, shaped as a long stripe, colored gray. The lower right part of the white pill has a scratch defect, shaped as a long stripe, colored gray.
The lower left part of the white pill has a bump defect, shaped as a long stripe, colored gray. The upper right part of the white pill has a bump defect, shaped as a long stripe, colored gray. The upper right part of the white pill has a discoloration spot defect, shaped as an irregular circle, colored red, totaling three. The lower right part of the white pill has a bump defect, shaped as a long stripe, colored gray. The lower right part of the white pill has a scratch defect, shaped as a long stripe, colored gray."
8,028.jpg,"The upper right part of the white pill has a bump defect, shaped irregularly, colored black. The lower right part of the white pill has a bump defect, shaped irregularly, colored black.
The upper right part of the white pill has a bump defect, shaped irregularly, colored black. The lower right part of the white pill has a bump defect, shaped irregularly, colored black."
9,029.jpg,"The lower left part of the white pill has a foreign object defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped irregularly, colored black.
The lower left part of the white pill has a foreign object defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped irregularly, colored black."
