,file_name,caption
0,037.jpg,"The upper right part of the white pill has a chip defect, irregular in shape and gray in color; the lower left part has a chip defect, irregular in shape and gray in color; and the middle part has a foreign object defect, irregular in shape and gray in color.
The upper right part of the white pill has a chip defect, irregular in shape and gray in color; the lower left part has a chip defect, irregular in shape and gray in color; and the middle part has a foreign object defect, irregular in shape and gray in color."
1,038.jpg,"The lower right part of the white pill has a chip defect, irregular in shape and gray in color; the right side has a chip defect, elongated in shape and gray in color; the left side has a chip defect, elongated in shape and gray in color; the upper left part has a foreign object defect, elongated in shape and gray in color; the left side has a foreign object defect, linear in shape, gray in color, with a quantity of 2; the lower left part has a foreign object defect, linear in shape, gray in color, with a quantity of 2; and the left side has a large foreign object defect, irregular in shape and gray in color.
The lower right part of the white pill has a chip defect, irregular in shape and gray in color; the right side has a chip defect, elongated in shape and gray in color; the left side has a chip defect, elongated in shape and gray in color; the upper left part has a foreign object defect, elongated in shape and gray in color; the left side has a foreign object defect, linear in shape, gray in color, with a quantity of 2; the lower left part has a foreign object defect, linear in shape, gray in color, with a quantity of 2; and the left side has a large foreign object defect, irregular in shape and gray in color."
2,039.jpg,"The right side of the white pill has a foreign object defect, shaped irregularly, colored gray. The lower right part of the white pill has a bump defect, shaped irregularly, colored gray.
The right side of the white pill has a foreign object defect, shaped irregularly, colored gray. The lower right part of the white pill has a bump defect, shaped irregularly, colored gray."
3,040.jpg,"The lower half of the white pill has a foreign object defect, shaped irregularly, colored gray.
The lower half of the white pill has a foreign object defect, shaped irregularly, colored gray."
4,041.jpg,"The upper half of the white pill has a foreign object defect, shaped irregularly, colored gray.
The upper half of the white pill has a foreign object defect, shaped irregularly, colored gray."
5,042.jpg,"The upper left part of the white pill has a foreign object defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped as a fan, colored gray. The right side of the white pill has a bump defect, shaped as a long stripe, colored gray. The lower right part of the white pill has a bump defect, shaped as a fan, colored gray.
The upper left part of the white pill has a foreign object defect, shaped irregularly, colored gray. The upper right part of the white pill has a bump defect, shaped as a fan, colored gray. The right side of the white pill has a bump defect, shaped as a long stripe, colored gray. The lower right part of the white pill has a bump defect, shaped as a fan, colored gray."
6,043.jpg,"The upper left part of the white pill has a foreign object defect, shaped irregularly, colored gray. The lower right part of the white pill has a foreign object defect, shaped irregularly, colored gray.
The upper left part of the white pill has a foreign object defect, shaped irregularly, colored gray. The lower right part of the white pill has a foreign object defect, shaped irregularly, colored gray."
7,044.jpg,"The upper right part of the white pill has a foreign object defect, shaped irregularly, colored gray.
The upper right part of the white pill has a foreign object defect, shaped irregularly, colored gray."
8,045.jpg,"The right side of the white pill has a foreign object defect, shaped irregularly, colored gray, totaling two. The right side of the white pill has a bump defect, shaped as a fan, colored gray.
The right side of the white pill has a foreign object defect, shaped irregularly, colored gray, totaling two. The right side of the white pill has a bump defect, shaped as a fan, colored gray."
9,046.jpg,"The upper left part of the white pill has a foreign object defect, shaped as an irregular triangle, colored gray. The lower right part of the white pill has a bump defect, shaped as a fan, colored gray.
The upper left part of the white pill has a foreign object defect, shaped as an irregular triangle, colored gray. The lower right part of the white pill has a bump defect, shaped as a fan, colored gray."
