,file_name,caption
0,077.jpg,"The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the left side has a misprinted letter defect, irregular in shape and white in color; the lower right part has a chipped defect, elongated in shape and gray in color; the upper left part has a scratch defect, elongated in shape and gray in color.
The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the left side has a misprinted letter defect, irregular in shape and white in color; the lower right part has a chipped defect, elongated in shape and gray in color; the upper left part has a scratch defect, elongated in shape and gray in color."
1,078.jpg,"The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the right side has a chipped defect, irregular fan-shaped and gray in color; the lower right part has a chipped defect, irregular fan-shaped and gray in color.
The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the right side has a chipped defect, irregular fan-shaped and gray in color; the lower right part has a chipped defect, irregular fan-shaped and gray in color."
2,079.jpg,"The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the right side has a chipped defect, irregularly triangular in shape and gray in color.
The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the right side has a chipped defect, irregularly triangular in shape and gray in color."
3,080.jpg,"The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the lower right part has a scratch defect, elongated in shape and gray in color.
The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the lower right part has a scratch defect, elongated in shape and gray in color."
4,081.jpg,"The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a chipped defect, irregular fan-shaped and gray in color.
The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a chipped defect, irregular fan-shaped and gray in color."
5,082.jpg,"The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a chipped defect, irregularly elliptical and gray in color; the lower right part has a chipped defect, irregular in shape and gray in color.
The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a chipped defect, irregularly elliptical and gray in color; the lower right part has a chipped defect, irregular in shape and gray in color."
6,083.jpg,"The right side of the white pill has a misprinted letter defect, irregular in shape, and white in color.
The right side of the white pill has a misprinted letter defect, irregular in shape, and white in color."
7,084.jpg,"The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a differently colored defect, irregularly circular and gray in color.
The right side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a differently colored defect, irregularly circular and gray in color."
8,085.jpg,"The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the right side has a chipped defect, irregular fan-shaped and gray in color; the lower right part has a foreign object defect, linear in shape and gray in color.
The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the right side has a chipped defect, irregular fan-shaped and gray in color; the lower right part has a foreign object defect, linear in shape and gray in color."
9,086.jpg,"The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a chipped defect, irregular circular and gray in color; the upper half has a foreign object defect, irregular in shape, gray in color, with a quantity of 2; the lower right part has a foreign object defect, linear in shape and gray in color.
The left side of the white pill has a misprinted letter defect, irregular in shape and white in color; the upper right part has a chipped defect, irregular circular and gray in color; the upper half has a foreign object defect, irregular in shape, gray in color, with a quantity of 2; the lower right part has a foreign object defect, linear in shape and gray in color."
