,file_name,caption
0,096.jpg,"The upper right part of the white pill has a large chipped defect, irregularly elongated in shape and gray in color; the upper left part has a foreign object defect, elongated in shape and gray in color; the lower right part has a foreign object defect, elongated in shape and black in color; the lower right part has a foreign object defect, irregular in shape and white in color, with a quantity of 2.
The upper right part of the white pill has a large chipped defect, irregularly elongated in shape and gray in color; the upper left part has a foreign object defect, elongated in shape and gray in color; the lower right part has a foreign object defect, elongated in shape and black in color; the lower right part has a foreign object defect, irregular in shape and white in color, with a quantity of 2."
1,097.jpg,"The lower right part of the white pill has a scratch defect, elongated in shape and gray in color; the upper right part has a chipped defect, elongated in shape and gray in color; the lower right part has a chipped defect, irregular in shape and gray in color.
The lower right part of the white pill has a scratch defect, elongated in shape and gray in color; the upper right part has a chipped defect, elongated in shape and gray in color; the lower right part has a chipped defect, irregular in shape and gray in color."
2,098.jpg,"The lower left part of the white pill has a chipped defect, irregular in shape and gray in color; the left side has multiple scratch defects, irregular in shape and gray in color; the lower left part has a foreign object defect, elongated in shape and gray in color.
The lower left part of the white pill has a chipped defect, irregular in shape and gray in color; the left side has multiple scratch defects, irregular in shape and gray in color; the lower left part has a foreign object defect, elongated in shape and gray in color."
3,099.jpg,"The upper half of the white pill has a large foreign object defect, irregular in shape and gray in color.
The upper half of the white pill has a large foreign object defect, irregular in shape and gray in color."
4,100.jpg,"The lower right part of the white pill has a scratch defect, elongated in shape and gray in color; the right side has a chipped defect, irregular in shape and black in color.
The lower right part of the white pill has a scratch defect, elongated in shape and gray in color; the right side has a chipped defect, irregular in shape and black in color."
5,101.jpg,"The lower right part of the white pill has a large foreign object defect, irregular in shape and gray in color.
The lower right part of the white pill has a large foreign object defect, irregular in shape and gray in color."
6,102.jpg,"The lower half of the white pill has a scratch defect, elongated in shape and gray in color; the lower right part has a scratch defect, elongated in shape and gray in color.
The lower half of the white pill has a scratch defect, elongated in shape and gray in color; the lower right part has a scratch defect, elongated in shape and gray in color."
7,103.jpg,"The lower half of the white pill has a scratch defect, elongated in shape and gray in color; the lower half has a foreign object defect, irregular in shape and gray in color.
The lower half of the white pill has a scratch defect, elongated in shape and gray in color; the lower half has a foreign object defect, irregular in shape and gray in color."
8,104.jpg,"The upper right part of the white pill has a scratch defect, elongated in shape and gray in color; the upper right part has a chipped defect, irregularly fan-shaped in shape and gray in color.
The upper right part of the white pill has a scratch defect, elongated in shape and gray in color; the upper right part has a chipped defect, irregularly fan-shaped in shape and gray in color."
9,105.jpg,"The lower right part of the white pill has a scratch defect, irregularly elliptical in shape and gray in color; the lower right part has a chipped defect, irregularly elongated in shape and black in color; the lower left part has a foreign object defect, elongated in shape, gray in color, with a quantity of 2.
The lower right part of the white pill has a scratch defect, irregularly elliptical in shape and gray in color; the lower right part has a chipped defect, irregularly elongated in shape and black in color; the lower left part has a foreign object defect, elongated in shape, gray in color, with a quantity of 2."
